,timestamp,host,write_ops,write_ops_norm
59,2025-08-23 19:30:00,HOST-F52B15BB4B4D209D,31.3995,-0.9337343624711465
60,2025-08-23 19:31:00,HOST-F52B15BB4B4D209D,34.769,-0.9196668504575101
61,2025-08-23 19:32:00,HOST-F52B15BB4B4D209D,87.02000000000001,-0.7015212590568538
62,2025-08-23 19:33:00,HOST-F52B15BB4B4D209D,34.341,-0.9214537313424593
63,2025-08-23 19:34:00,HOST-F52B15BB4B4D209D,25.230999999999998,-0.9594875744777099
64,2025-08-23 19:35:00,HOST-F52B15BB4B4D209D,42.012,-0.8894276489395496
65,2025-08-23 19:36:00,HOST-F52B15BB4B4D209D,36.457,-0.9126195258458413
66,2025-08-23 19:37:00,HOST-F52B15BB4B4D209D,28.278000000000002,-0.9467664855607936
67,2025-08-23 19:38:00,HOST-F52B15BB4B4D209D,35.393,-0.9170616783261824
68,2025-08-23 19:39:00,HOST-F52B15BB4B4D209D,129.05,-0.5260478861727064
69,2025-08-23 19:40:00,HOST-F52B15BB4B4D209D,18.957,-0.9856812442725027
70,2025-08-23 19:41:00,HOST-F52B15BB4B4D209D,55.983,-0.8310993479030419
71,2025-08-23 19:42:00,HOST-F52B15BB4B4D209D,33.269,-0.9259292834655096
72,2025-08-23 19:43:00,HOST-F52B15BB4B4D209D,20.556,-0.9790054906859751
73,2025-08-23 19:44:00,HOST-F52B15BB4B4D209D,23.781000000000002,-0.9655412597187761
74,2025-08-23 19:45:00,HOST-F52B15BB4B4D209D,22.579,-0.9705595560358531
75,2025-08-23 19:46:00,HOST-F52B15BB4B4D209D,34.844,-0.9193537288071102
76,2025-08-23 19:47:00,HOST-F52B15BB4B4D209D,33.233,-0.9260795818577017
77,2025-08-23 19:48:00,HOST-F52B15BB4B4D209D,47.995999999999995,-0.8644447161929701
78,2025-08-23 19:49:00,HOST-F52B15BB4B4D209D,28.184,-0.9471589313626282
79,2025-08-23 19:50:00,HOST-F52B15BB4B4D209D,60.521,-0.8121534005761738
80,2025-08-23 19:51:00,HOST-F52B15BB4B4D209D,34.068,-0.9225934941499153
81,2025-08-23 19:52:00,HOST-F52B15BB4B4D209D,30.806,-0.9362121984646449
82,2025-08-23 19:53:00,HOST-F52B15BB4B4D209D,25.052999999999997,-0.9602307165279925
83,2025-08-23 19:54:00,HOST-F52B15BB4B4D209D,33.817,-0.9236414079399204
84,2025-08-23 19:55:00,HOST-F52B15BB4B4D209D,55.644000000000005,-0.8325146577628497
85,2025-08-23 19:56:00,HOST-F52B15BB4B4D209D,48.586999999999996,-0.8619773175878183
86,2025-08-23 19:57:00,HOST-F52B15BB4B4D209D,78.161,-0.7385071884020992
87,2025-08-23 19:58:00,HOST-F52B15BB4B4D209D,29.790000000000003,-0.94045395308873
88,2025-08-23 19:59:00,HOST-F52B15BB4B4D209D,83.11,-0.7178453344310393
89,2025-08-23 20:00:00,HOST-F52B15BB4B4D209D,14.632000000000001,-1.0037379261122348
90,2025-08-23 20:01:00,HOST-F52B15BB4B4D209D,259.652,0.019209630967798333
91,2025-08-23 20:02:00,HOST-F52B15BB4B4D209D,60.817,-0.8109176137959285
92,2025-08-23 20:03:00,HOST-F52B15BB4B4D209D,63.632999999999996,-0.7991609395622442
93,2025-08-23 20:04:00,HOST-F52B15BB4B4D209D,59.918,-0.8146708986453897
94,2025-08-23 20:05:00,HOST-F52B15BB4B4D209D,28.575,-0.9455265238252096
95,2025-08-23 20:06:00,HOST-F52B15BB4B4D209D,32.079,-0.9308974803185226
96,2025-08-23 20:07:00,HOST-F52B15BB4B4D209D,52.933,-0.8438329616859742
97,2025-08-23 20:08:00,HOST-F52B15BB4B4D209D,26.27,-0.9551497958808355
98,2025-08-23 20:09:00,HOST-F52B15BB4B4D209D,24.019,-0.9645476203481735
99,2025-08-23 20:10:00,HOST-F52B15BB4B4D209D,19.2,-0.9846667301252068
100,2025-08-23 20:11:00,HOST-F52B15BB4B4D209D,46.414,-0.8710494955387403
101,2025-08-23 20:12:00,HOST-F52B15BB4B4D209D,42.391,-0.8878453408661952
